Secret,Prev TS Frame
48,1045211.0
49,1013615.0
50,1046365.0
51,1050020.0
52,1064356.5
53,1045312.5
54,1029286.5
55,1037407.5
56,1041865.0
57,1034381.5
65,1037542.0
66,1067672.0
67,1040283.0
68,1041249.5
69,1025317.5
70,1016484.0
71,1044205.5
72,1038509.0
73,1043543.5
74,1042353.5
75,1049550.0
76,1031720.5
77,1034078.0
78,1049981.5
79,1023172.5
80,1038621.0
81,1059459.5
82,1049181.5
83,994085.0
84,1058416.5
85,1022738.0
86,1045576.0
87,1030588.5
88,1032425.0
89,1047571.0
90,1039663.0
